filename,width,height,class,xmin,ymin,xmax,ymax
person115277.jpg,150,100,person,72,49,77,59
person315145.jpg,150,100,person,72,48,76,57
person2222.jpg,150,100,person,59,20,89,54
person31530.jpg,150,100,person,73,46,76,52
person310250.jpg,150,100,person,72,45,76,60
person310237.jpg,150,100,person,70,37,79,58
person115200.jpg,150,100,person,72,43,77,51
person210357.jpg,150,100,person,68,37,79,50
person15196.jpg,150,100,person,55,36,89,61
person35138.jpg,150,100,person,71,41,77,58
person35292.jpg,150,100,person,67,1,109,34
person110260.jpg,150,100,person,70,31,78,51
person2295.jpg,150,100,person,63,36,81,62
person210323.jpg,150,100,person,67,36,84,51
person31041.jpg,150,100,person,72,40,76,50
person15188.jpg,150,100,person,64,39,81,59
person315326.jpg,150,100,person,73,43,76,49
person115141.jpg,150,100,person,72,43,76,51
person12199.jpg,150,100,person,55,24,91,67
person35141.jpg,150,100,person,71,47,79,64
person15139.jpg,150,100,person,67,45,79,60
person25180.jpg,150,100,person,67,48,90,71
person35147.jpg,150,100,person,71,44,79,61
person215207.jpg,150,100,person,71,49,75,55
person210268.jpg,150,100,person,67,41,83,60
person25193.jpg,150,100,person,57,37,89,74
person15114.jpg,150,100,person,67,48,80,63
person32128.jpg,150,100,person,68,30,78,59
person110108.jpg,150,100,person,72,46,76,54
person1298.jpg,150,100,person,62,26,83,53
person115209.jpg,150,100,person,72,42,75,53
person2527.jpg,150,100,person,69,44,79,60
person15155.jpg,150,100,person,67,49,87,69
person115180.jpg,150,100,person,72,49,77,56
person110268.jpg,150,100,person,71,32,78,49
person11031.jpg,150,100,person,71,38,78,50
person11526.jpg,150,100,person,72,46,76,53
person3294.jpg,150,100,person,70,46,82,73
person215237.jpg,150,100,person,71,49,76,55
person12118.jpg,150,100,person,61,35,83,62
person110135.jpg,150,100,person,71,44,77,54
person215324.jpg,150,100,person,71,48,76,54
person32175.jpg,150,100,person,67,4,83,46
person3593.jpg,150,100,person,72,40,77,55
person12132.jpg,150,100,person,65,19,84,49
person35343.jpg,150,100,person,69,32,83,61
person32196.jpg,150,100,person,70,50,105,93
person110264.jpg,150,100,person,70,41,78,60
person22133.jpg,150,100,person,65,48,98,74
person128.jpg,150,100,person,56,16,90,56
person31523.jpg,150,100,person,73,45,76,51
person25354.jpg,150,100,person,71,47,85,67
person325.jpg,150,100,person,69,37,86,76
person35282.jpg,150,100,person,64,27,102,88
person2105.jpg,150,100,person,70,45,79,58
person259.jpg,150,100,person,70,49,91,72
person11560.jpg,150,100,person,73,48,76,53
person22321.jpg,150,100,person,40,0,122,91
person215272.jpg,150,100,person,71,48,76,56
person315249.jpg,150,100,person,72,49,77,60
person15289.jpg,150,100,person,54,5,106,54
person25239.jpg,150,100,person,59,42,97,82
person2587.jpg,150,100,person,68,33,79,49
person32348.jpg,150,100,person,67,41,98,94
person110167.jpg,150,100,person,71,45,78,56
person315255.jpg,150,100,person,73,40,76,50
person12335.jpg,150,100,person,62,41,122,100
person15338.jpg,150,100,person,67,42,92,67
person11053.jpg,150,100,person,72,48,76,57
person32215.jpg,150,100,person,59,3,83,61
person12182.jpg,150,100,person,53,8,90,49
person215132.jpg,150,100,person,71,49,76,55
person215333.jpg,150,100,person,71,48,76,56
person315182.jpg,150,100,person,73,44,75,50
person21049.jpg,150,100,person,71,48,77,57
person215257.jpg,150,100,person,71,49,76,56
person1247.jpg,150,100,person,64,41,89,70
person115151.jpg,150,100,person,72,45,75,51
person3533.jpg,150,100,person,71,32,78,51
person115286.jpg,150,100,person,72,44,76,54
